rank,Net Worth ($B),Age,Country of Residence,City of Residence,Source,Industries,Origin Country,Self Made,Gender,Surname,First Name,Birth Year,Residence Country CPI Inflation Percentage,Residence Country GDP,Residence Country Tertiary Education Enrollment Percentage,Country of Residence Life Expectancy,Country of Residence Population
1,211.0,74,France,Paris,LVMH,Fashion & Retail,France,False,M,Arnault,Bernard,1949,10.0%,2715518274227,65.6%,82.5,67059887
2,180.0,51,United States,Austin,"Tesla, SpaceX",Automotive,United States,True,M,Musk,Elon,1971,17.2%,21427700000000,88.2%,78.5,328239523
3,114.0,59,United States,Medina,Amazon,Technology,United States,True,M,Bezos,Jeff,1964,17.2%,21427700000000,88.2%,78.5,328239523
4,107.0,78,United States,Lanai,Oracle,Technology,United States,True,M,Ellison,Larry,1944,17.2%,21427700000000,88.2%,78.5,328239523
5,106.0,92,United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,True,M,Buffett,Warren,1930,17.2%,21427700000000,88.2%,78.5,328239523
6,104.0,67,United States,Medina,Microsoft,Technology,United States,True,M,Gates,Bill,1955,17.2%,21427700000000,88.2%,78.5,328239523
7,94.5,81,United States,New York,Bloomberg LP,Media & Entertainment,United States,True,M,Bloomberg,Michael,1942,17.2%,21427700000000,88.2%,78.5,328239523
8,93.0,83,Mexico,Mexico City,Telecom,Telecom,Mexico,True,M,Slim Helu,Carlos,1940,41.5%,1258286717125,40.2%,75.0,126014024
9,83.4,65,India,Mumbai,Diversified,Diversified,India,False,M,Ambani,Mukesh,1957,80.4%,2611000000000,28.1%,69.4,1366417754
10,80.7,67,United States,Hunts Point,Microsoft,Technology,United States,True,M,Ballmer,Steve,1956,17.2%,21427700000000,88.2%,78.5,328239523
11,80.5,69,France,Paris,L'Oréal,Fashion & Retail,France,False,F,Bettencourt Meyers,Francoise,1953,10.0%,2715518274227,65.6%,82.5,67059887
12,79.2,50,United States,Palo Alto,Google,Technology,United States,True,M,Page,Larry,1973,17.2%,21427700000000,88.2%,78.5,328239523
13,77.3,87,Spain,La Coruna,Zara,Fashion & Retail,Spain,True,M,Ortega,Amancio,1936,11.0%,1394116310769,88.9%,83.3,47076781
14,76.0,49,United States,Los Altos,Google,Technology,United States,True,M,Brin,Sergey,1973,17.2%,21427700000000,88.2%,78.5,328239523
15,68.0,68,China,Hangzhou,"Beverages, pharmaceuticals",Food & Beverage,China,True,M,Zhong,Shanshan,1954,25.1%,19910000000000,50.6%,77.0,1397715000
16,64.4,38,United States,Palo Alto,Facebook,Technology,United States,True,M,Zuckerberg,Mark,1984,17.2%,21427700000000,88.2%,78.5,328239523
17,59.0,87,United States,Wichita,Koch Industries,Diversified,United States,False,M,Koch,Charles,1935,17.2%,21427700000000,88.2%,78.5,328239523
17,59.0,60,United States,New York,Koch Industries,Diversified,United States,False,F,Koch,Julia,1962,17.2%,21427700000000,88.2%,78.5,328239523
19,58.8,74,United States,Bentonville,Walmart,Fashion & Retail,United States,False,M,Walton,Jim,1948,17.2%,21427700000000,88.2%,78.5,328239523
20,57.6,78,United States,Bentonville,Walmart,Fashion & Retail,United States,False,M,Walton,Rob,1944,17.2%,21427700000000,88.2%,78.5,328239523
21,56.7,73,United States,Fort Worth,Walmart,Fashion & Retail,United States,False,F,Walton,Alice,1949,17.2%,21427700000000,88.2%,78.5,328239523
22,54.4,65,Canada,Toronto,Media,Media & Entertainment,Canada,False,M,Thomson,David,1957,16.8%,1736425629520,68.9%,81.9,36991981
23,50.1,58,United States,Austin,Dell Technologies,Technology,United States,True,M,Dell,Michael,1965,17.2%,21427700000000,88.2%,78.5,328239523
24,47.2,60,India,Ahmedabad,"Infrastructure, commodities",Diversified,India,True,M,Adani,Gautam,1962,80.4%,2611000000000,28.1%,69.4,1366417754
